CutOff,Subsidy,Obj,Free,Total
0,200000,431216587.6,494,848
0.1,200000,431216587.6,494,848
0.2,200000,428616587.6,481,848
0.3,200000,423216587.6,454,848
0.4,200000,423216587.6,454,848
0.5,200000,420416587.6,440,848
0.6,200000,413416587.6,405,848
0.7,200000,410416587.6,390,848
0.8,200000,410416587.6,390,848
0.9,200000,409216587.6,384,848
1,210000,406936941.9,373,848
1.1,210000,405886941.9,368,848
1.2,210000,404416941.9,361,848
1.3,210000,404416941.9,361,848
1.4,210000,401686941.9,348,848
1.5,210000,401686941.9,348,848
1.6,210000,400426941.9,342,848
1.7,210000,396646941.9,324,848
1.8,210000,396646941.9,324,848
1.9,220000,389184708.4,285,849
2,220000,389184708.4,285,849
2.1,240000,386713460.2,271,852
2.2,240000,385239121.2,260,852
2.3,250000,385512115.6,236,854
2.4,250000,383518755.3,207,854
2.5,260000,394124567,188,854
2.6,260000,394124567,188,854
2.7,270000,401740785.3,170,854
2.8,320000,437078297.7,115,861
2.9,320000,444030260.7,96,861
3,320000,444030260.7,96,861
3.1,360000,450073251.6,80,867
3.2,370000,454503231.9,68,869
3.3,410000,460494372.9,45,876
3.4,440000,464315433.1,37,879
3.5,440000,464315433.1,37,879
3.6,440000,465641776.9,33,879
3.7,470000,467404325,23,879
3.8,490000,473319397.5,8,880
3.9,490000,473319397.5,8,880
4,500000,475969436,2,882
4.1,530000,487503479,0,883
4.2,530000,487503479,0,883
4.3,530000,518607248.6,0,855
4.4,530000,518607248.6,0,855
4.5,0,526377665.1,0,824
4.6,0,526377665.1,0,824
