CutOff,Subsidy,Obj,Free,Total
0,0,526377665.1,0,824
100000,0,526377665.1,0,824
200000,240000,524723821.5,1,824
300000,220000,515993558.8,18,829
400000,290000,431692496,33,842
500000,270000,359017659.2,39,848
600000,260000,358987092.2,115,851
700000,240000,365629020.4,168,852
800000,240000,376049188.6,214,852
900000,220000,391005459.3,283,849
1000000,210000,407065227.3,364,848
1100000,200000,413795815.7,405,848
1200000,200000,419395815.7,433,848
1300000,200000,422995306.3,452,848
1400000,200000,426995306.3,472,848
1500000,200000,427995306.3,477,848
1600000,200000,428616587.6,481,848
1700000,200000,429616587.6,486,848
1800000,200000,429816587.6,487,848
1900000,200000,430016587.6,488,848
2000000,200000,430216587.6,489,848
2100000,200000,430416587.6,490,848
2200000,200000,430616587.6,491,848
2300000,200000,430616587.6,491,848
2400000,200000,430616587.6,491,848
2500000,200000,430616587.6,491,848
