CutOff,Subsidy,Obj,Free,,Total
0,600000,1033149643,0,0,785
100000,600000,1033149643,0,0,785
200000,600000,1030040311,0,0,787
300000,630000,1014847559,17,17,796
400000,700000,820122518,18,18,824
500000,700000,639202052,18,18,836
600000,690000,604835596,53,53,845
700000,670000,602855903.4,70,70,846
800000,660000,624019915.4,102,102,846
900000,650000,663100006.5,168,168,846
1000000,650000,711464666.2,247,247,846
1100000,630000,730070272.2,285,285,842
1200000,630000,747560892.2,312,312,842
1300000,630000,758384662.4,331,331,843
1400000,620000,770951896.5,351,351,843
1500000,620000,774051896.5,356,356,843
1600000,620000,776038286.4,360,360,843
1700000,610000,779106588,365,365,843
1800000,610000,779716588,366,366,843
1900000,610000,780326588,367,367,843
2000000,610000,780936588,368,368,843
2100000,610000,781546588,369,369,843
2200000,610000,782156588,370,370,843
2300000,610000,782156588,370,370,843
2400000,610000,782156588,370,370,843
2500000,610000,782766588,371,371,843
