Param,Optimal Subsidy,Objective,Free rider,TotalMovement
0.1,480000,640303633.9,122,864
0.2,610000,785831107.8,83,889
0.3,610000,871398789.2,50,888
0.4,610000,926194745.2,14,884
0.5,610000,966599098.5,2,884
0.6,610000,997959103,1,876
0.7,610000,1022829784,1,868
0.8,610000,1042644121,1,862
0.9,610000,1060293763,0,859
1,620000,1074874923,0,872
1.1,610000,1087579668,0,853
1.2,610000,1100334261,0,852
1.3,610000,1109709715,0,850
1.4,610000,1119714712,0,849
1.5,610000,1127651492,0,847
1.6,620000,1138256215,0,861
1.7,640000,1146581452,0,890
1.8,640000,1154642038,0,887
1.9,620000,1162499718,0,859
2,640000,1168543946,0,885
