Param,Optimal Subsidy,Objective,Free rider,TotalMovement
0.5,0,323227894.7,741,741
1,470000,597599420.3,177,765
1.5,690000,730440516.2,135,785
2,790000,825344010.9,116,789
2.5,850000,896601355.9,79,791
3,870000,946421707.8,56,787
3.5,890000,985797149.7,34,787
4,890000,1018525201,12,785
4.5,890000,1047832695,3,783
5,890000,1070851717,2,769
5.5,890000,1089985115,1,766
6,890000,1107922662,1,765
6.5,890000,1124296779,1,760
7,890000,1139524185,1,756
7.5,890000,1152095989,1,751
8,890000,1163099583,1,745
