Sub,Obj,Free,Nei,Total,Dis,Relo,Vac,Dp
140000,362975033.3,495,177,908,500,300000,0.1,0.1
130000,348963665.7,495,196,899,500,300000,0.1,0.15
140000,338711358.2,495,214,911,500,300000,0.1,0.2
120000,331731619.3,495,229,903,500,300000,0.1,0.25
160000,371223139.5,495,134,882,500,300000,0.15,0.1
160000,360420344.1,495,140,880,500,300000,0.15,0.15
170000,354031221.8,495,144,883,500,300000,0.15,0.2
170000,348315793.9,495,160,883,500,300000,0.15,0.25
170000,379672019.4,495,101,867,500,300000,0.2,0.1
160000,368220840.1,495,118,868,500,300000,0.2,0.15
160000,361736436.4,495,124,868,500,300000,0.2,0.2
150000,355584394,495,144,866,500,300000,0.2,0.25
180000,385544761.8,495,80,863,500,300000,0.25,0.1
170000,374803727.3,495,103,863,500,300000,0.25,0.15
180000,369610178.7,495,99,863,500,300000,0.25,0.2
160000,364824905.6,495,121,863,500,300000,0.25,0.25
170000,390385001,495,73,858,500,300000,0.3,0.1
170000,386065445.5,495,80,858,500,300000,0.3,0.15
180000,382945232.7,495,87,858,500,300000,0.3,0.2
160000,376253565.3,495,98,858,500,300000,0.3,0.25
170000,400238026.2,495,62,857,500,300000,0.35,0.1
180000,392591347.8,495,66,857,500,300000,0.35,0.15
160000,390161232.6,495,75,857,500,300000,0.35,0.2
160000,386714903.1,495,82,857,500,300000,0.35,0.25
180000,403671400.9,495,51,856,500,300000,0.4,0.1
190000,396646932,495,64,857,500,300000,0.4,0.15
190000,392886920.8,495,66,857,500,300000,0.4,0.2
190000,391503841.1,495,71,857,500,300000,0.4,0.25
450000,668062988.3,374,227,874,500,750000,0.1,0.1
460000,644749578.4,374,262,898,500,750000,0.1,0.15
450000,623625943.8,374,271,897,500,750000,0.1,0.2
440000,612536391.1,374,283,892,500,750000,0.1,0.25
520000,686904365.9,374,157,861,500,750000,0.15,0.1
580000,668550681.8,374,147,863,500,750000,0.15,0.15
530000,650318855.3,374,187,862,500,750000,0.15,0.2
540000,642788907.9,374,197,862,500,750000,0.15,0.25
550000,698587233.4,374,123,856,500,750000,0.2,0.1
550000,681839418.6,374,144,857,500,750000,0.2,0.15
570000,664077130.2,374,153,857,500,750000,0.2,0.2
560000,660680774.8,374,158,857,500,750000,0.2,0.25
590000,714091387.9,374,92,857,500,750000,0.25,0.1
600000,695100543.4,374,113,862,500,750000,0.25,0.15
570000,688912983.8,374,122,853,500,750000,0.25,0.2
550000,678523304.3,374,142,853,500,750000,0.25,0.25
600000,726078583,374,79,857,500,750000,0.3,0.1
570000,712642620.7,374,102,848,500,750000,0.3,0.15
570000,706184054.5,374,103,848,500,750000,0.3,0.2
570000,697607783.7,374,115,848,500,750000,0.3,0.25
600000,736469683.6,374,63,855,500,750000,0.35,0.1
570000,724778685.7,374,82,845,500,750000,0.35,0.15
590000,715820777.2,374,87,850,500,750000,0.35,0.2
570000,711906019.3,374,95,845,500,750000,0.35,0.25
610000,740843516.1,374,58,856,500,750000,0.4,0.1
580000,732017298,374,76,845,500,750000,0.4,0.15
580000,727167198,374,79,845,500,750000,0.4,0.2
570000,722959368.4,374,85,845,500,750000,0.4,0.25
140000,357990425.5,495,172,903,600,300000,0.1,0.1
150000,346731976.4,495,197,916,600,300000,0.1,0.15
110000,339127198.8,495,221,897,600,300000,0.1,0.2
100000,332747722.4,495,243,897,600,300000,0.1,0.25
160000,372515816,495,138,896,600,300000,0.15,0.1
160000,359885476.9,495,153,897,600,300000,0.15,0.15
150000,349875206.7,495,170,889,600,300000,0.15,0.2
160000,346088488.9,495,175,897,600,300000,0.15,0.25
160000,378431663.3,495,116,877,600,300000,0.2,0.1
170000,366023567.5,495,127,877,600,300000,0.2,0.15
150000,360726070.2,495,137,878,600,300000,0.2,0.2
180000,355893702,495,137,878,600,300000,0.2,0.25
160000,382738600.5,495,104,870,600,300000,0.25,0.1
170000,374937692.9,495,104,870,600,300000,0.25,0.15
160000,370404984.1,495,111,870,600,300000,0.25,0.2
140000,365807841.4,495,139,864,600,300000,0.25,0.25
170000,390457910.4,495,78,861,600,300000,0.3,0.1
180000,382488898.9,495,86,861,600,300000,0.3,0.15
160000,377310906.3,495,99,861,600,300000,0.3,0.2
170000,372976843.5,495,103,861,600,300000,0.3,0.25
180000,396421785.2,495,62,859,600,300000,0.35,0.1
180000,391496954.9,495,65,859,600,300000,0.35,0.15
180000,385849944.1,495,79,859,600,300000,0.35,0.2
160000,381889070.6,495,94,859,600,300000,0.35,0.25
200000,398808423.4,495,58,861,600,300000,0.4,0.1
190000,395427504.7,495,63,859,600,300000,0.4,0.15
200000,392035459.5,495,64,861,600,300000,0.4,0.2
170000,387428870.7,495,79,858,600,300000,0.4,0.25
450000,670304995.8,374,232,886,600,750000,0.1,0.1
550000,643498599.8,374,218,897,600,750000,0.1,0.15
460000,626189077.8,374,258,887,600,750000,0.1,0.2
130000,609711504.4,374,296,864,600,750000,0.1,0.25
590000,689804302.1,374,145,884,600,750000,0.15,0.1
500000,659428518.5,374,202,870,600,750000,0.15,0.15
500000,650895350.9,374,208,870,600,750000,0.15,0.2
520000,637887077.9,374,212,873,600,750000,0.15,0.25
550000,700457696,374,139,866,600,750000,0.2,0.1
580000,675952286.8,374,147,866,600,750000,0.2,0.15
550000,670472473.5,374,158,865,600,750000,0.2,0.2
550000,659095454,374,172,866,600,750000,0.2,0.25
610000,702427179.8,374,111,870,600,750000,0.25,0.1
590000,690568264.6,374,123,864,600,750000,0.25,0.15
550000,683275229.9,374,142,859,600,750000,0.25,0.2
580000,677568809.8,374,137,859,600,750000,0.25,0.25
