Sub,Obj,Free,Nei,Total,Relo,Vac,Dp
100000,329494961.8,495,401,1086,300000,0.1,0.1
100000,315453926.7,495,414,1086,300000,0.1,0.15
120000,301756645.4,495,412,1086,300000,0.1,0.2
110000,293453472.9,495,429,1086,300000,0.1,0.25
130000,345790405,495,334,1058,300000,0.15,0.1
140000,331215674.2,495,347,1064,300000,0.15,0.15
130000,326563014.7,495,354,1058,300000,0.15,0.2
150000,319429914.7,495,361,1066,300000,0.15,0.25
180000,358382958.5,495,269,1033,300000,0.2,0.1
150000,342661325.3,495,303,1032,300000,0.2,0.15
160000,337877089.3,495,298,1033,300000,0.2,0.2
150000,332408113.6,495,311,1032,300000,0.2,0.25
180000,366407620.3,495,249,1021,300000,0.25,0.1
170000,353036510.8,495,270,1021,300000,0.25,0.15
160000,350557567.2,495,276,1021,300000,0.25,0.2
160000,346570481.3,495,281,1021,300000,0.25,0.25
190000,380736791,495,211,999,300000,0.3,0.1
180000,374573160.6,495,217,999,300000,0.3,0.15
170000,366414212.9,495,234,999,300000,0.3,0.2
170000,365013138.8,495,236,999,300000,0.3,0.25
170000,387276898.8,495,182,978,300000,0.35,0.1
160000,381698995.3,495,201,980,300000,0.35,0.15
170000,378845106.7,495,199,980,300000,0.35,0.2
160000,374634116.5,495,206,980,300000,0.35,0.25
190000,392264521,495,153,957,300000,0.4,0.1
160000,388369895.3,495,163,955,300000,0.4,0.15
180000,384568805.9,495,169,955,300000,0.4,0.2
160000,381421495.2,495,175,956,300000,0.4,0.25
450000,625885564,374,436,1084,750000,0.1,0.1
490000,596609668.6,374,440,1084,750000,0.1,0.15
410000,578158861.3,374,481,1083,750000,0.1,0.2
480000,565064383.3,374,463,1084,750000,0.1,0.25
470000,654766043.5,374,380,1057,750000,0.15,0.1
510000,634357757.6,374,377,1057,750000,0.15,0.15
530000,616404316.3,374,385,1057,750000,0.15,0.2
490000,605135541.2,374,408,1057,750000,0.15,0.25
490000,673352312.1,374,326,1026,750000,0.2,0.1
540000,652363064,374,319,1026,750000,0.2,0.15
530000,641776849,374,334,1026,750000,0.2,0.2
490000,632237625.3,374,354,1026,750000,0.2,0.25
560000,688811340.6,374,274,1014,750000,0.25,0.1
550000,669478506.2,374,294,1014,750000,0.25,0.15
520000,659549316.2,374,309,1013,750000,0.25,0.2
550000,653154871.1,374,308,1014,750000,0.25,0.25
580000,708750154.5,374,226,989,750000,0.3,0.1
550000,697223298.5,374,243,990,750000,0.3,0.15
540000,687748521.3,374,257,987,750000,0.3,0.2
590000,685754898.5,374,243,994,750000,0.3,0.25
570000,721369200.6,374,188,966,750000,0.35,0.1
550000,711967685.5,374,204,966,750000,0.35,0.15
570000,699560625.8,374,215,967,750000,0.35,0.2
570000,698664747.4,374,214,967,750000,0.35,0.25
580000,725072730.5,374,168,947,750000,0.4,0.1
570000,719065135.3,374,173,948,750000,0.4,0.15
580000,713903296.8,374,176,948,750000,0.4,0.2
560000,708114195.5,374,188,948,750000,0.4,0.25
