Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements
HouseCutOff,15,0,344249166.7,0,832
HouseCutOff,20,0,374217450.8,0,832
HouseCutOff,25,30000,393530556.7,623,832
HouseCutOff,30,160000,410383101.2,593,851
HouseCutOff,35,160000,415922802,568,851
HouseCutOff,40,180000,420750964,540,850
HouseCutOff,45,180000,426524678.9,520,844
HouseCutOff,50,200000,431416587.6,495,848
HouseCutOff,55,200000,435235759.9,474,848
HouseCutOff,60,200000,446828003.1,446,847
HouseCutOff,65,210000,458993078.1,409,846
HouseCutOff,70,220000,467653668.3,383,846
HouseCutOff,75,220000,468797891.9,358,846
HouseCutOff,80,220000,469921590.2,339,846
