Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements,,,
govDiscount,0.025,200000,431416587.6,495,848,,,
govDiscount,0.026,200000,428291431.9,495,848,,,
govDiscount,0.027,200000,425283948.9,495,848,,,
govDiscount,0.028,200000,422388283.3,495,848,,,
govDiscount,0.029,200000,419598914.1,495,848,,,
govDiscount,0.03,180000,416582497,495,843,,,
govDiscount,0.031,180000,413770851.6,495,844,,,
govDiscount,0.032,180000,411057865.9,495,843,,,
govDiscount,0.033,180000,408438802.1,495,843,,,
govDiscount,0.034,180000,405909188.3,495,843,,,
govDiscount,0.035,180000,403464801.5,495,843,,, 
govDiscount,0.036,180000,401101653.1,495,843,,,
govDiscount,0.037,180000,398815974.2,495,843,,,
govDiscount,0.038,180000,396604202.5,495,843,,,
govDiscount,0.039,180000,394462969.8,495,843,,,
govDiscount,0.04,180000,392389090.1,495,843,,,
govDiscount,0.041,170000,390327806.7,495,843,,,
govDiscount,0.042,160000,388159920.4,495,843,,,
govDiscount,0.043,160000,386116578.5,495,843,,,
govDiscount,0.044,160000,384132489.3,495,843,,,
govDiscount,0.045,160000,382205134,495,843,,,
govDiscount,0.075,120000,338738266,495,832,,,
