Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements
LowDiscount,0.15,90000,365264172.4,548,841
LowDiscount,0.155,100000,377958846.6,523,840
LowDiscount,0.16,120000,390125049.5,515,842
LowDiscount,0.165,140000,401486894.2,508,842
LowDiscount,0.17,150000,412219303.8,503,843
LowDiscount,0.175,180000,422016548.8,497,844
LowDiscount,0.18,200000,431416587.6,495,848
LowDiscount,0.185,210000,440775266.2,491,848
LowDiscount,0.19,220000,449382148.3,488,848
LowDiscount,0.195,230000,457128620.6,484,849
LowDiscount,0.2,250000,464938256.3,481,851
LowDiscount,0.205,250000,472554539.4,479,850
LowDiscount,0.21,270000,479662465.5,477,851
LowDiscount,0.215,280000,486266232.2,477,852
LowDiscount,0.22,300000,492565831.6,476,854
