Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements
LowDiscount,0.15,500000,713321397.2,378,832
LowDiscount,0.155,510000,727432158.6,378,832
LowDiscount,0.16,540000,740306223.1,377,832
LowDiscount,0.165,570000,752153415.9,377,840
LowDiscount,0.17,590000,763577030.3,375,842
LowDiscount,0.175,600000,774194280.6,375,843
LowDiscount,0.18,610000,784596588,374,843
LowDiscount,0.185,630000,793943407.9,374,843
LowDiscount,0.19,650000,803078606.7,374,844
LowDiscount,0.195,660000,812068735.5,374,844
LowDiscount,0.2,670000,820419706.4,374,844
LowDiscount,0.205,690000,828138097.5,374,847
LowDiscount,0.21,700000,835329625.7,374,848
LowDiscount,0.215,710000,843007328.8,374,848
LowDiscount,0.22,720000,849418734.1,374,849
