Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements
Relocation Cost,300000,200000,431416587.6,495,848
Relocation Cost,350000,250000,470970717.5,481,848
Relocation Cost,400000,300000,510524847.3,472,848
Relocation Cost,450000,330000,549845697.8,462,843
Relocation Cost,500000,380000,589025154.9,457,843
Relocation Cost,550000,430000,628204612,447,843
Relocation Cost,600000,480000,667384069.2,439,843
Relocation Cost,650000,530000,706563526.3,421,843
Relocation Cost,700000,570000,745724433.5,405,843
Relocation Cost,750000,610000,784596588,374,843
