idx,lat,long,alt,impValue,valYear,stories,zipCode,squareFeet,mktValue,className,disRate,selfMoveYear,motMoveYear,selfMoveFlag,motiMoveFlag,freeRiderFlag,movedOutFlag,property,cumuLoss
0,29.260359,-94.846434,1.5,48190,2018,1,77551,6970,66390,L,0.18,24,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1,29.282457,-94.817415,3.4,71070,2018,1,77551,2962,83450,L,0.18,200,48,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2,29.298585,-94.914418,1.5,195620,2018,1,77554,4356,245710,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,29.285953,-94.796309,4.4,98460,2018,1,77550,2570,108040,L,0.18,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,29.288096,-94.810014,2.9,41410,2018,1,77550,2831,50000,L,0.18,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,29.289098,-94.795488,3.8,119930,2018,1,77550,2570,129510,L,0.18,200,41,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
6,29.271491,-94.835347,1.5,131490,2018,1,77551,6795,156350,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
7,29.278938,-94.823603,3.1,105680,2018,1,77551,2962,118060,L,0.18,200,35,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
8,29.296188,-94.787818,2.7,116740,2018,1,77550,1612,122640,L,0.18,51,30,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
9,29.291339,-94.797928,3.1,184280,2018,1,77550,3354,197000,M,0.12,19,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
10,29.18935,-94.979618,1.5,128120,2018,1,77554,8059,152120,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
11,29.200033,-94.944887,1.7,31890,2018,1,77554,13460,94320,L,0.18,36,13,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
12,29.276594,-94.838066,1.5,140480,2018,1,77551,9583,169510,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
13,29.279485,-94.817558,3.7,157210,2018,1,77551,5968,181960,M,0.12,30,8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
14,29.288005,-94.82871,2.1,124450,2018,1,77551,1394,129350,L,0.18,35,14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
15,29.280906,-94.827906,1.5,117820,2018,1,77551,4792,124150,L,0.18,16,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
16,29.130981,-95.060274,1.6,112640,2018,1,77554,5576,136050,L,0.18,23,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
17,29.135901,-95.062175,0.3,236090,2018,1,77554,10367,360890,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
18,29.282446,-94.818555,3.4,95580,2018,1,77551,4008,112080,L,0.18,200,40,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
19,29.275783,-94.833069,1.5,102230,2018,1,77551,3136,112630,L,0.18,18,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
20,29.277255,-94.818636,3.8,191610,2018,1,77551,6273,227000,M,0.12,29,7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
21,29.283069,-94.807779,3.7,142360,2018,1,77550,5140,161520,M,0.12,32,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
22,29.316895,-94.768655,2.3,103880,2018,1,77550,6795,141190,L,0.18,46,27,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
23,29.287081,-94.827578,2.1,24670,2018,1,77551,1133,28630,L,0.18,200,32,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
24,29.305175,-94.774671,3,263020,2018,1,77550,5009,281680,M,0.12,6,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
25,29.282644,-94.816145,3.4,205310,2018,1,77551,8973,241450,M,0.12,20,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
26,29.278451,-94.826688,1.5,180830,2018,1,77551,3398,194900,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
27,29.275781,-94.826506,1.8,110460,2018,1,77551,5314,137490,L,0.18,30,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
28,29.299812,-94.779096,3,85670,2018,1,77550,1263,89730,L,0.18,200,38,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
29,29.280765,-94.867749,0.1,148080,2018,1,77554,7579,173540,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
30,29.218003,-94.945007,0.4,193910,2018,1,77554,6534,410000,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
31,29.199926,-94.943957,1.8,141410,2018,1,77554,7492,169530,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
32,29.290212,-94.792539,3.5,73710,2018,1,77550,1655,78970,L,0.18,200,48,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
33,29.274395,-94.826241,2.2,94600,2018,1,77551,5489,107830,L,0.18,43,24,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
34,29.136942,-95.060112,0.2,269310,2018,1,77554,5358,333630,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
35,29.202703,-94.941836,2.2,311990,2018,1,77554,8494,387910,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
36,29.269925,-94.842786,1.5,113340,2018,1,77551,6578,133800,L,0.18,18,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
37,29.307933,-94.777291,2.6,166000,2018,1,77550,2570,175540,M,0.12,14,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
38,29.258986,-94.845708,1.5,81800,2018,1,77551,6970,100000,L,0.18,21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
39,29.129134,-95.057363,1.5,141460,2018,1,77554,8973,307460,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
40,29.297158,-94.785658,2.8,93820,2018,1,77550,1699,101950,L,0.18,200,35,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
41,29.287832,-94.831124,1.9,75300,2018,1,77551,5489,83000,L,0.18,36,13,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
42,29.264484,-94.845885,0.9,249060,2018,1,77551,9757,360420,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
43,29.185419,-94.977142,1.7,99050,2018,1,77554,7449,121160,L,0.18,28,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
44,29.141783,-95.052961,0.1,230230,2018,1,77554,6055,345750,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
45,29.298533,-94.784461,2.9,142120,2018,1,77550,5097,161190,M,0.12,24,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
46,29.292738,-94.807197,2.7,89720,2018,1,77550,3833,103980,L,0.18,200,35,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
47,29.301774,-94.775716,4.3,66230,2018,1,77550,2570,74360,L,0.18,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,29.204923,-94.937143,2.6,189140,2018,1,77554,5968,238940,M,0.12,13,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
49,29.203759,-94.945423,1.5,54420,2018,1,77554,7013,66210,L,0.18,23,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
50,29.292322,-94.802494,2.9,83600,2018,1,77550,5097,102670,L,0.18,200,39,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
51,29.291268,-94.807456,2.7,58030,2018,1,77550,1220,62600,L,0.18,200,43,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
52,29.277806,-94.840546,1.5,158950,2018,1,77551,8015,185550,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
53,29.295913,-94.783993,3.4,70310,2018,1,77550,2091,78110,L,0.18,200,48,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
54,29.278437,-94.81981,3.6,106430,2018,1,77551,5968,131190,L,0.18,200,41,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
55,29.27247,-94.840124,1.5,84100,2018,1,77551,6708,94500,L,0.18,20,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
56,29.284799,-94.815662,3,132440,2018,1,77551,5968,157190,M,0.12,27,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
