Obj,Free,Total,Subsidy,CutOff
4123216032,2049,5861,350000,0
4123216032,2049,5861,350000,0.1
4109566032,2010,5861,350000,0.2
4068537924,1895,5879,360000,0.3
4068537924,1895,5879,360000,0.4
4043697924,1826,5879,360000,0.5
4009197377,1731,5890,370000,0.6
3995137377,1693,5890,370000,0.7
3995137377,1693,5890,370000,0.8
3976637377,1643,5890,370000,0.9
3953327377,1580,5890,370000,1
3929157400,1516,5921,390000,1.1
3877976228,1405,5936,400000,1.2
3877976228,1405,5936,400000,1.3
3893286880,1218,6069,530000,1.4
3893286880,1218,6069,530000,1.5
4118943771,479,6116,590000,1.6
4193492310,283,6125,600000,1.7
4193492310,283,6125,600000,1.8
4238788716,182,6130,610000,1.9
4238788716,182,6130,610000,2
4251072133,134,6130,610000,2.1
4277680740,91,6126,610000,2.2
4415162343,38,6109,620000,2.3
4504543983,30,6074,620000,2.4
4605384549,25,6039,620000,2.5
4605384549,25,6039,620000,2.6
4753770211,21,5990,630000,2.7
5090610803,8,5828,640000,2.8
5259153019,5,5732,640000,2.9
5259153019,5,5732,640000,3
5415349789,4,5651,650000,3.1
5513699052,3,5602,650000,3.2
5634573840,1,5524,650000,3.3
5724906530,0,5474,660000,3.4
5724906530,0,5474,660000,3.5
5797050754,0,5420,660000,3.6
5858477048,0,5373,660000,3.7
5935511839,0,5318,670000,3.8
5935511839,0,5318,670000,3.9
5974463913,0,5278,670000,4
6057591313,0,5178,660000,4.1
6057591313,0,5178,660000,4.2
6088993241,0,5068,650000,4.3
6088993241,0,5068,650000,4.4
6094336195,0,5033,0,4.5
6094336195,0,5033,0,4.6
