Obj,Free,Total,Subsidy,CutOff
6094336195,0,5033,0,0
5209813182,116,5585,600000,100000
3903329715,864,6057,570000,200000
4061247206,1584,5882,370000,300000
4102435669,1897,5877,360000,400000
4118931480,1999,5860,350000,500000
4124569405,2038,5860,350000,600000
4125686769,2052,5861,350000,700000
4127669348,2061,5861,350000,800000
4128816032,2065,5861,350000,900000
4130216032,2069,5861,350000,1000000
4130216032,2069,5861,350000,1100000
4130916032,2071,5861,350000,1200000
4131266032,2072,5861,350000,1300000
4131266032,2072,5861,350000,1400000
4131616032,2073,5861,350000,1500000
4131966032,2074,5861,350000,1600000
4131966032,2074,5861,350000,1700000
4132316032,2075,5861,350000,1800000
4132316032,2075,5861,350000,1900000
4132666032,2076,5861,350000,2000000
