propertyzip	squarefeet	latitude	longitude	altitude (m)	noofstories	improvementmarketvalue	totalmarketvalue	marketvalueyear
77551	6970	29.260359	-94.846434	1.5	1	48190	66390	2018
77551	2962	29.282457	-94.817415	3.4	1	71070	83450	2018
77554	4356	29.298585	-94.914418	1.5	1	195620	245710	2018
77550	2570	29.285953	-94.796309	4.4	1	98460	108040	2018
77550	2831	29.288096	-94.810014	2.9	1	41410	50000	2018
77550	2570	29.289098	-94.795488	3.8	1	119930	129510	2018
77551	6795	29.271491	-94.835347	1.5	1	131490	156350	2018
77551	2962	29.278938	-94.823603	3.1	1	105680	118060	2018
77550	1612	29.296188	-94.787818	2.7	1	116740	122640	2018
77550	3354	29.291339	-94.797928	3.1	1	184280	197000	2018
77554	8059	29.18935	-94.979618	1.5	1	128120	152120	2018
77554	13460	29.200033	-94.944887	1.7	1	31890	94320	2018
77551	9583	29.276594	-94.838066	1.5	1	140480	169510	2018
77551	5968	29.279485	-94.817558	3.7	1	157210	181960	2018
77551	1394	29.288005	-94.82871	2.1	1	124450	129350	2018
77551	4792	29.280906	-94.827906	1.5	1	117820	124150	2018
77554	5576	29.130981	-95.060274	1.6	1	112640	136050	2018
77554	10367	29.135901	-95.062175	0.3	1	236090	360890	2018
77551	4008	29.282446	-94.818555	3.4	1	95580	112080	2018
77551	3136	29.275783	-94.833069	1.5	1	102230	112630	2018
77551	6273	29.277255	-94.818636	3.8	1	191610	227000	2018
77550	5140	29.283069	-94.807779	3.7	1	142360	161520	2018
77550	6795	29.316895	-94.768655	2.3	1	103880	141190	2018
77551	1133	29.287081	-94.827578	2.1	1	24670	28630	2018
77550	5009	29.305175	-94.774671	3	1	263020	281680	2018
77551	8973	29.282644	-94.816145	3.4	1	205310	241450	2018
77551	3398	29.278451	-94.826688	1.5	1	180830	194900	2018
77551	5314	29.275781	-94.826506	1.8	1	110460	137490	2018
77550	1263	29.299812	-94.779096	3	1	85670	89730	2018
77554	7579	29.280765	-94.867749	0.1	1	148080	173540	2018
77554	6534	29.218003	-94.945007	0.4	1	193910	410000	2018
77554	7492	29.199926	-94.943957	1.8	1	141410	169530	2018
77550	1655	29.290212	-94.792539	3.5	1	73710	78970	2018
77551	5489	29.274395	-94.826241	2.2	1	94600	107830	2018
77554	5358	29.136942	-95.060112	0.2	1	269310	333630	2018
77554	8494	29.202703	-94.941836	2.2	1	311990	387910	2018
77551	6578	29.269925	-94.842786	1.5	1	113340	133800	2018
77550	2570	29.307933	-94.777291	2.6	1	166000	175540	2018
77551	6970	29.258986	-94.845708	1.5	1	81800	100000	2018
77554	8973	29.129134	-95.057363	1.5	1	141460	307460	2018
77550	1699	29.297158	-94.785658	2.8	1	93820	101950	2018
77551	5489	29.287832	-94.831124	1.9	1	75300	83000	2018
77551	9757	29.264484	-94.845885	0.9	1	249060	360420	2018
77554	7449	29.185419	-94.977142	1.7	1	99050	121160	2018
77554	6055	29.141783	-95.052961	0.1	1	230230	345750	2018
77550	5097	29.298533	-94.784461	2.9	1	142120	161190	2018
77550	3833	29.292738	-94.807197	2.7	1	89720	103980	2018
77550	2570	29.301774	-94.775716	4.3	1	66230	74360	2018
77554	5968	29.204923	-94.937143	2.6	1	189140	238940	2018
77554	7013	29.203759	-94.945423	1.5	1	54420	66210	2018
77550	5097	29.292322	-94.802494	2.9	1	83600	102670	2018
77550	1220	29.291268	-94.807456	2.7	1	58030	62600	2018
77551	8015	29.277806	-94.840546	1.5	1	158950	185550	2018
77550	2091	29.295913	-94.783993	3.4	1	70310	78110	2018
77551	5968	29.278437	-94.81981	3.6	1	106430	131190	2018
77551	6708	29.27247	-94.840124	1.5	1	84100	94500	2018
77551	5968	29.284799	-94.815662	3	1	132440	157190	2018
77550	5140	29.30574	-94.786848	2.2	1	331210	353260	2018
77554	10019	29.283944	-94.874474	1.6	1	88250	188250	2018
77550	3441	29.291555	-94.811071	2.6	1	94520	105480	2018
77550	2526	29.294582	-94.799533	2.7	1	101870	109970	2018
77551	3006	29.288374	-94.830079	2.1	1	97120	107620	2018
77554	5097	29.134887	-95.051713	2.7	1	213170	250000	2018
77551	7449	29.259434	-94.841568	1.5	1	187480	215760	2018
77550	4661	29.292786	-94.802234	2.8	1	78550	93340	2018
77554	8668	29.193439	-94.984009	0.7	1	219420	413000	2018
77551	6403	29.281315	-94.814582	3.6	1	94400	117980	2018
